stage,tokens,knobs_json,closure,paced,median_ms,bitexact,status,kernel_commit,timestamp,config_id,median_max_ms,bitexact_view,maxd,compile_s,error
1,128,"{""cluster_shape_mnk"":[2,1,1],""epi_flag_batch"":[1,2],""flag_batch"":4,""group_hint"":512,""in_kernel_fc2_reduce"":false,""load_balance_mode"":""atomic_counter"",""mma_tiler_mnk"":[256,64,256],""non_ubulk_fc2_store"":true,""tail_fused_reduce"":true,""token_back_mode"":""standalone_warps""}",view,false,,,INVALID,665c5976,2026-08-13T20:53:05,s1-008,,,,,tail_fused_reduce requires epi_warps token-back
1,128,"{""cluster_shape_mnk"":[2,1,1],""epi_flag_batch"":[1,2],""flag_batch"":4,""group_hint"":512,""in_kernel_fc2_reduce"":false,""load_balance_mode"":""atomic_counter"",""mma_tiler_mnk"":[256,64,256],""non_ubulk_fc2_store"":false,""tail_fused_reduce"":true,""token_back_mode"":""standalone_warps""}",view,false,,,INVALID,665c5976,2026-08-13T20:53:05,s1-010,,,,,tail_fused_reduce requires epi_warps token-back
1,128,"{""cluster_shape_mnk"":[2,1,1],""epi_flag_batch"":[1,2],""flag_batch"":4,""group_hint"":512,""in_kernel_fc2_reduce"":false,""load_balance_mode"":""atomic_counter"",""mma_tiler_mnk"":[256,64,256],""non_ubulk_fc2_store"":false,""tail_fused_reduce"":false,""token_back_mode"":""standalone_warps""}",view,false,,,INVALID,665c5976,2026-08-13T20:53:05,s1-011,,,,,dispatch-warp token-back requires non-UBLK fc2 store
1,128,"{""cluster_shape_mnk"":[2,1,1],""epi_flag_batch"":[1,2],""flag_batch"":4,""group_hint"":512,""in_kernel_fc2_reduce"":false,""load_balance_mode"":""static"",""mma_tiler_mnk"":[256,64,256],""non_ubulk_fc2_store"":true,""tail_fused_reduce"":true,""token_back_mode"":""standalone_warps""}",view,false,,,INVALID,665c5976,2026-08-13T20:53:05,s1-012,,,,,tail_fused_reduce requires epi_warps token-back
1,128,"{""cluster_shape_mnk"":[2,1,1],""epi_flag_batch"":[1,2],""flag_batch"":4,""group_hint"":512,""in_kernel_fc2_reduce"":false,""load_balance_mode"":""static"",""mma_tiler_mnk"":[256,64,256],""non_ubulk_fc2_store"":false,""tail_fused_reduce"":true,""token_back_mode"":""standalone_warps""}",view,false,,,INVALID,665c5976,2026-08-13T20:53:05,s1-014,,,,,tail_fused_reduce requires epi_warps token-back
1,128,"{""cluster_shape_mnk"":[2,1,1],""epi_flag_batch"":[1,2],""flag_batch"":4,""group_hint"":512,""in_kernel_fc2_reduce"":false,""load_balance_mode"":""static"",""mma_tiler_mnk"":[256,64,256],""non_ubulk_fc2_store"":false,""tail_fused_reduce"":false,""token_back_mode"":""standalone_warps""}",view,false,,,INVALID,665c5976,2026-08-13T20:53:05,s1-015,,,,,dispatch-warp token-back requires non-UBLK fc2 store
1,128,"{""cluster_shape_mnk"":[2,1,1],""epi_flag_batch"":[1,2],""flag_batch"":4,""group_hint"":512,""in_kernel_fc2_reduce"":false,""load_balance_mode"":""atomic_counter"",""mma_tiler_mnk"":[256,64,256],""non_ubulk_fc2_store"":true,""tail_fused_reduce"":true,""token_back_mode"":""reuse_dispatch_warps""}",view,false,,,INVALID,665c5976,2026-08-13T20:53:05,s1-016,,,,,tail_fused_reduce requires epi_warps token-back
1,128,"{""cluster_shape_mnk"":[2,1,1],""epi_flag_batch"":[1,2],""flag_batch"":4,""group_hint"":512,""in_kernel_fc2_reduce"":false,""load_balance_mode"":""atomic_counter"",""mma_tiler_mnk"":[256,64,256],""non_ubulk_fc2_store"":false,""tail_fused_reduce"":true,""token_back_mode"":""reuse_dispatch_warps""}",view,false,,,INVALID,665c5976,2026-08-13T20:53:05,s1-018,,,,,tail_fused_reduce requires epi_warps token-back
1,128,"{""cluster_shape_mnk"":[2,1,1],""epi_flag_batch"":[1,2],""flag_batch"":4,""group_hint"":512,""in_kernel_fc2_reduce"":false,""load_balance_mode"":""atomic_counter"",""mma_tiler_mnk"":[256,64,256],""non_ubulk_fc2_store"":false,""tail_fused_reduce"":false,""token_back_mode"":""reuse_dispatch_warps""}",view,false,,,INVALID,665c5976,2026-08-13T20:53:05,s1-019,,,,,dispatch-warp token-back requires non-UBLK fc2 store
1,128,"{""cluster_shape_mnk"":[2,1,1],""epi_flag_batch"":[1,2],""flag_batch"":4,""group_hint"":512,""in_kernel_fc2_reduce"":false,""load_balance_mode"":""static"",""mma_tiler_mnk"":[256,64,256],""non_ubulk_fc2_store"":true,""tail_fused_reduce"":true,""token_back_mode"":""reuse_dispatch_warps""}",view,false,,,INVALID,665c5976,2026-08-13T20:53:05,s1-020,,,,,tail_fused_reduce requires epi_warps token-back
1,128,"{""cluster_shape_mnk"":[2,1,1],""epi_flag_batch"":[1,2],""flag_batch"":4,""group_hint"":512,""in_kernel_fc2_reduce"":false,""load_balance_mode"":""static"",""mma_tiler_mnk"":[256,64,256],""non_ubulk_fc2_store"":false,""tail_fused_reduce"":true,""token_back_mode"":""reuse_dispatch_warps""}",view,false,,,INVALID,665c5976,2026-08-13T20:53:05,s1-022,,,,,tail_fused_reduce requires epi_warps token-back
1,128,"{""cluster_shape_mnk"":[2,1,1],""epi_flag_batch"":[1,2],""flag_batch"":4,""group_hint"":512,""in_kernel_fc2_reduce"":false,""load_balance_mode"":""static"",""mma_tiler_mnk"":[256,64,256],""non_ubulk_fc2_store"":false,""tail_fused_reduce"":false,""token_back_mode"":""reuse_dispatch_warps""}",view,false,,,INVALID,665c5976,2026-08-13T20:53:05,s1-023,,,,,dispatch-warp token-back requires non-UBLK fc2 store
1,128,"{""cluster_shape_mnk"":[2,1,1],""epi_flag_batch"":[1,2],""flag_batch"":4,""group_hint"":512,""in_kernel_fc2_reduce"":false,""load_balance_mode"":""atomic_counter"",""mma_tiler_mnk"":[256,128,256],""non_ubulk_fc2_store"":true,""tail_fused_reduce"":true,""token_back_mode"":""standalone_warps""}",view,false,,,INVALID,665c5976,2026-08-13T20:53:05,s1-032,,,,,tail_fused_reduce requires epi_warps token-back
1,128,"{""cluster_shape_mnk"":[2,1,1],""epi_flag_batch"":[1,2],""flag_batch"":4,""group_hint"":512,""in_kernel_fc2_reduce"":false,""load_balance_mode"":""atomic_counter"",""mma_tiler_mnk"":[256,128,256],""non_ubulk_fc2_store"":false,""tail_fused_reduce"":true,""token_back_mode"":""standalone_warps""}",view,false,,,INVALID,665c5976,2026-08-13T20:53:05,s1-034,,,,,tail_fused_reduce requires epi_warps token-back
1,128,"{""cluster_shape_mnk"":[2,1,1],""epi_flag_batch"":[1,2],""flag_batch"":4,""group_hint"":512,""in_kernel_fc2_reduce"":false,""load_balance_mode"":""atomic_counter"",""mma_tiler_mnk"":[256,128,256],""non_ubulk_fc2_store"":false,""tail_fused_reduce"":false,""token_back_mode"":""standalone_warps""}",view,false,,,INVALID,665c5976,2026-08-13T20:53:05,s1-035,,,,,dispatch-warp token-back requires non-UBLK fc2 store
1,128,"{""cluster_shape_mnk"":[2,1,1],""epi_flag_batch"":[1,2],""flag_batch"":4,""group_hint"":512,""in_kernel_fc2_reduce"":false,""load_balance_mode"":""static"",""mma_tiler_mnk"":[256,128,256],""non_ubulk_fc2_store"":true,""tail_fused_reduce"":true,""token_back_mode"":""standalone_warps""}",view,false,,,INVALID,665c5976,2026-08-13T20:53:05,s1-036,,,,,tail_fused_reduce requires epi_warps token-back
1,128,"{""cluster_shape_mnk"":[2,1,1],""epi_flag_batch"":[1,2],""flag_batch"":4,""group_hint"":512,""in_kernel_fc2_reduce"":false,""load_balance_mode"":""static"",""mma_tiler_mnk"":[256,128,256],""non_ubulk_fc2_store"":false,""tail_fused_reduce"":true,""token_back_mode"":""standalone_warps""}",view,false,,,INVALID,665c5976,2026-08-13T20:53:05,s1-038,,,,,tail_fused_reduce requires epi_warps token-back
1,128,"{""cluster_shape_mnk"":[2,1,1],""epi_flag_batch"":[1,2],""flag_batch"":4,""group_hint"":512,""in_kernel_fc2_reduce"":false,""load_balance_mode"":""static"",""mma_tiler_mnk"":[256,128,256],""non_ubulk_fc2_store"":false,""tail_fused_reduce"":false,""token_back_mode"":""standalone_warps""}",view,false,,,INVALID,665c5976,2026-08-13T20:53:05,s1-039,,,,,dispatch-warp token-back requires non-UBLK fc2 store
1,128,"{""cluster_shape_mnk"":[2,1,1],""epi_flag_batch"":[1,2],""flag_batch"":4,""group_hint"":512,""in_kernel_fc2_reduce"":false,""load_balance_mode"":""atomic_counter"",""mma_tiler_mnk"":[256,128,256],""non_ubulk_fc2_store"":true,""tail_fused_reduce"":true,""token_back_mode"":""reuse_dispatch_warps""}",view,false,,,INVALID,665c5976,2026-08-13T20:53:05,s1-040,,,,,tail_fused_reduce requires epi_warps token-back
1,128,"{""cluster_shape_mnk"":[2,1,1],""epi_flag_batch"":[1,2],""flag_batch"":4,""group_hint"":512,""in_kernel_fc2_reduce"":false,""load_balance_mode"":""atomic_counter"",""mma_tiler_mnk"":[256,128,256],""non_ubulk_fc2_store"":false,""tail_fused_reduce"":true,""token_back_mode"":""reuse_dispatch_warps""}",view,false,,,INVALID,665c5976,2026-08-13T20:53:05,s1-042,,,,,tail_fused_reduce requires epi_warps token-back
1,128,"{""cluster_shape_mnk"":[2,1,1],""epi_flag_batch"":[1,2],""flag_batch"":4,""group_hint"":512,""in_kernel_fc2_reduce"":false,""load_balance_mode"":""atomic_counter"",""mma_tiler_mnk"":[256,128,256],""non_ubulk_fc2_store"":false,""tail_fused_reduce"":false,""token_back_mode"":""reuse_dispatch_warps""}",view,false,,,INVALID,665c5976,2026-08-13T20:53:05,s1-043,,,,,dispatch-warp token-back requires non-UBLK fc2 store
1,128,"{""cluster_shape_mnk"":[2,1,1],""epi_flag_batch"":[1,2],""flag_batch"":4,""group_hint"":512,""in_kernel_fc2_reduce"":false,""load_balance_mode"":""static"",""mma_tiler_mnk"":[256,128,256],""non_ubulk_fc2_store"":true,""tail_fused_reduce"":true,""token_back_mode"":""reuse_dispatch_warps""}",view,false,,,INVALID,665c5976,2026-08-13T20:53:05,s1-044,,,,,tail_fused_reduce requires epi_warps token-back
1,128,"{""cluster_shape_mnk"":[2,1,1],""epi_flag_batch"":[1,2],""flag_batch"":4,""group_hint"":512,""in_kernel_fc2_reduce"":false,""load_balance_mode"":""static"",""mma_tiler_mnk"":[256,128,256],""non_ubulk_fc2_store"":false,""tail_fused_reduce"":true,""token_back_mode"":""reuse_dispatch_warps""}",view,false,,,INVALID,665c5976,2026-08-13T20:53:05,s1-046,,,,,tail_fused_reduce requires epi_warps token-back
1,128,"{""cluster_shape_mnk"":[2,1,1],""epi_flag_batch"":[1,2],""flag_batch"":4,""group_hint"":512,""in_kernel_fc2_reduce"":false,""load_balance_mode"":""static"",""mma_tiler_mnk"":[256,128,256],""non_ubulk_fc2_store"":false,""tail_fused_reduce"":false,""token_back_mode"":""reuse_dispatch_warps""}",view,false,,,INVALID,665c5976,2026-08-13T20:53:05,s1-047,,,,,dispatch-warp token-back requires non-UBLK fc2 store
1,128,"{""cluster_shape_mnk"":[2,1,1],""epi_flag_batch"":[1,2],""flag_batch"":4,""group_hint"":512,""in_kernel_fc2_reduce"":false,""load_balance_mode"":""atomic_counter"",""mma_tiler_mnk"":[128,64,256],""non_ubulk_fc2_store"":true,""tail_fused_reduce"":true,""token_back_mode"":""standalone_warps""}",view,false,,,INVALID,665c5976,2026-08-13T20:53:05,s1-056,,,,,tail_fused_reduce requires epi_warps token-back
